t,l,theta,phi,fx,fy,fz,upx,upy,upz
0.0,3.0,1.5707963267948966,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
0.06006006006006006,3.0,1.5707963267948966,0.006289474781961548,-1.0,0.0,0.0,0.0,0.0,1.0
0.12012012012012012,3.0,1.5707963267948966,0.012578949563923096,-1.0,0.0,0.0,0.0,0.0,1.0
0.18018018018018017,3.0,1.5707963267948966,0.018868424345884642,-1.0,0.0,0.0,0.0,0.0,1.0
0.24024024024024024,3.0,1.5707963267948966,0.025157899127846193,-1.0,0.0,0.0,0.0,0.0,1.0
0.3003003003003003,3.0,1.5707963267948966,0.031447373909807744,-1.0,0.0,0.0,0.0,0.0,1.0
0.36036036036036034,3.0,1.5707963267948966,0.037736848691769284,-1.0,0.0,0.0,0.0,0.0,1.0
0.42042042042042044,3.0,1.5707963267948966,0.04402632347373083,-1.0,0.0,0.0,0.0,0.0,1.0
0.4804804804804805,3.0,1.5707963267948966,0.050315798255692386,-1.0,0.0,0.0,0.0,0.0,1.0
0.5405405405405406,3.0,1.5707963267948966,0.05660527303765393,-1.0,0.0,0.0,0.0,0.0,1.0
0.6006006006006006,3.0,1.5707963267948966,0.06289474781961549,-1.0,0.0,0.0,0.0,0.0,1.0
0.6606606606606606,3.0,1.5707963267948966,0.06918422260157703,-1.0,0.0,0.0,0.0,0.0,1.0
0.7207207207207207,3.0,1.5707963267948966,0.07547369738353857,-1.0,0.0,0.0,0.0,0.0,1.0
0.7807807807807807,3.0,1.5707963267948966,0.08176317216550011,-1.0,0.0,0.0,0.0,0.0,1.0
0.8408408408408409,3.0,1.5707963267948966,0.08805264694746166,-1.0,0.0,0.0,0.0,0.0,1.0
0.9009009009009009,3.0,1.5707963267948966,0.09434212172942322,-1.0,0.0,0.0,0.0,0.0,1.0
0.960960960960961,3.0,1.5707963267948966,0.10063159651138477,-1.0,0.0,0.0,0.0,0.0,1.0
1.021021021021021,3.0,1.5707963267948966,0.10692107129334633,-1.0,0.0,0.0,0.0,0.0,1.0
1.0810810810810811,3.0,1.5707963267948966,0.11321054607530787,-1.0,0.0,0.0,0.0,0.0,1.0
1.1411411411411412,3.0,1.5707963267948966,0.1195000208572694,-1.0,0.0,0.0,0.0,0.0,1.0
1.2012012012012012,3.0,1.5707963267948966,0.12578949563923097,-1.0,0.0,0.0,0.0,0.0,1.0
1.2612612612612613,3.0,1.5707963267948966,0.13207897042119252,-1.0,0.0,0.0,0.0,0.0,1.0
1.3213213213213213,3.0,1.5707963267948966,0.13836844520315406,-1.0,0.0,0.0,0.0,0.0,1.0
1.3813813813813813,3.0,1.5707963267948966,0.1446579199851156,-1.0,0.0,0.0,0.0,0.0,1.0
1.4414414414414414,3.0,1.5707963267948966,0.15094739476707714,-1.0,0.0,0.0,0.0,0.0,1.0
1.5015015015015014,3.0,1.5707963267948966,0.15723686954903868,-1.0,0.0,0.0,0.0,0.0,1.0
1.5615615615615615,3.0,1.5707963267948966,0.16352634433100022,-1.0,0.0,0.0,0.0,0.0,1.0
1.6216216216216217,3.0,1.5707963267948966,0.16981581911296179,-1.0,0.0,0.0,0.0,0.0,1.0
1.6816816816816818,3.0,1.5707963267948966,0.17610529389492333,-1.0,0.0,0.0,0.0,0.0,1.0
1.7417417417417418,3.0,1.5707963267948966,0.1823947686768849,-1.0,0.0,0.0,0.0,0.0,1.0
1.8018018018018018,3.0,1.5707963267948966,0.18868424345884643,-1.0,0.0,0.0,0.0,0.0,1.0
