t,l,theta,phi,fx,fy,fz,upx,upy,upz
0.0,-4.0,1.5707963267948966,0.0,0.9999999994203005,3.404994730212089e-05,0.0,0.0,0.0,1.0
0.02002002002002002,-3.991991991991992,1.5707963267948966,0.0,0.9999999993694971,3.5510642968769546e-05,0.0,0.0,0.0,1.0
0.04004004004004004,-3.983983983983984,1.5707963267948966,0.0,0.9999999993143458,3.703118094196703e-05,0.0,0.0,0.0,1.0
0.06006006006006006,-3.975975975975976,1.5707963267948966,0.0,0.9999999992544838,3.8613887764212374e-05,0.0,0.0,0.0,1.0
0.08008008008008008,-3.967967967967968,1.5707963267948966,0.0,0.9999999991895189,4.026117508769976e-05,0.0,0.0,0.0,1.0
0.10010010010010009,-3.95995995995996,1.5707963267948966,0.0,0.9999999991190269,4.197554256755945e-05,0.0,0.0,0.0,1.0
0.12012012012012012,-3.951951951951952,1.5707963267948966,0.0,0.9999999990425495,4.375958084968973e-05,0.0,0.0,0.0,1.0
0.14014014014014015,-3.943943943943944,1.5707963267948966,0.0,0.9999999989595915,4.5615974645186216e-05,0.0,0.0,0.0,1.0
0.16016016016016016,-3.935935935935936,1.5707963267948966,0.0,0.9999999988696173,4.754750590247074e-05,0.0,0.0,0.0,1.0
0.18018018018018017,-3.9279279279279278,1.5707963267948966,0.0,0.999999998772049,4.955705707756386e-05,0.0,0.0,0.0,1.0
0.20020020020020018,-3.91991991991992,1.5707963267948966,0.0,0.999999998666262,5.164761450250116e-05,0.0,0.0,0.0,1.0
0.22022022022022023,-3.911911911911912,1.5707963267948966,0.0,0.9999999985515815,5.382227185855441e-05,0.0,0.0,0.0,1.0
0.24024024024024024,-3.903903903903904,1.5707963267948966,0.0,0.9999999984272794,5.608423375336966e-05,0.0,0.0,0.0,1.0
0.2602602602602603,-3.895895895895896,1.5707963267948966,0.0,0.999999998292569,5.843681940735113e-05,0.0,0.0,0.0,1.0
0.2802802802802803,-3.8878878878878878,1.5707963267948966,0.0,0.9999999981466018,6.088346645195555e-05,0.0,0.0,0.0,1.0
0.3003003003003003,-3.87987987987988,1.5707963267948966,0.0,0.9999999979884612,6.342773483945282e-05,0.0,0.0,0.0,1.0
0.3203203203203203,-3.871871871871872,1.5707963267948966,0.0,0.9999999978171588,6.607331087436698e-05,0.0,0.0,0.0,1.0
0.34034034034034033,-3.863863863863864,1.5707963267948966,0.0,0.9999999976316277,6.882401136215668e-05,0.0,0.0,0.0,1.0
0.36036036036036034,-3.855855855855856,1.5707963267948966,0.0,0.9999999974307173,7.168378788001997e-05,0.0,0.0,0.0,1.0
0.38038038038038036,-3.8478478478478477,1.5707963267948966,0.0,0.9999999972131862,7.465673118048183e-05,0.0,0.0,0.0,1.0
0.40040040040040037,-3.83983983983984,1.5707963267948966,0.0,0.9999999969776961,7.774707571666175e-05,0.0,0.0,0.0,1.0
0.42042042042042044,-3.831831831831832,1.5707963267948966,0.0,0.9999999967228036,8.095920430787358e-05,0.0,0.0,0.0,1.0
0.44044044044044045,-3.823823823823824,1.5707963267948966,0.0,0.9999999964469528,8.429765293889586e-05,0.0,0.0,0.0,1.0
0.46046046046046046,-3.815815815815816,1.5707963267948966,0.0,0.9999999961484667,8.776711569735383e-05,0.0,0.0,0.0,1.0
0.4804804804804805,-3.8078078078078077,1.5707963267948966,0.0,0.9999999958255377,9.13724498616474e-05,0.0,0.0,0.0,1.0
0.5005005005005005,-3.7997997997998,1.5707963267948966,0.0,0.9999999954762182,9.51186811269906e-05,0.0,0.0,0.0,1.0
0.5205205205205206,-3.7917917917917916,1.5707963267948966,0.0,0.9999999950984101,9.9011008991323e-05,0.0,0.0,0.0,1.0
0.5405405405405406,-3.7837837837837838,1.5707963267948966,0.0,0.9999999946898528,0.00010305481228999047,0.0,0.0,0.0,1.0
0.5605605605605606,-3.775775775775776,1.5707963267948966,0.0,0.9999999942481123,0.00010725565489251843,0.0,0.0,0.0,1.0
0.5805805805805806,-3.7677677677677677,1.5707963267948966,0.0,0.9999999937705668,0.00011161929156014478,0.0,0.0,0.0,1.0
0.6006006006006006,-3.75975975975976,1.5707963267948966,0.0,0.9999999932543943,0.00011615167397121835,0.0,0.0,0.0,1.0
0.6206206206206206,-3.7517517517517516,1.5707963267948966,0.0,0.9999999926965563,0.00012085895691668279,0.0,0.0,0.0,1.0
0.6406406406406406,-3.7437437437437437,1.5707963267948966,0.0,0.9999999920937825,0.0001257475046696432,0.0,0.0,0.0,1.0
0.6606606606606606,-3.735735735735736,1.5707963267948966,0.0,0.9999999914425539,0.0001308238975374526,0.0,0.0,0.0,1.0
0.6806806806806807,-3.7277277277277276,1.5707963267948966,0.0,0.9999999907390839,0.0001360949385923217,0.0,0.0,0.0,1.0
0.7007007007007007,-3.71971971971972,1.5707963267948966,0.0,0.9999999899792987,0.00014156766059288627,0.0,0.0,0.0,1.0
0.7207207207207207,-3.7117117117117115,1.5707963267948966,0.0,0.9999999891588169,0.00014724933309673228,0.0,0.0,0.0,1.0
0.7407407407407407,-3.7037037037037037,1.5707963267948966,0.0,0.9999999882729261,0.00015314746977231584,0.0,0.0,0.0,1.0
0.7607607607607607,-3.6956956956956954,1.5707963267948966,0.0,0.9999999873165596,0.00015926983590761398,0.0,0.0,0.0,1.0
0.7807807807807807,-3.6876876876876876,1.5707963267948966,0.0,0.9999999862842697,0.00016562445612927239,0.0,0.0,0.0,1.0
0.8008008008008007,-3.67967967967968,1.5707963267948966,0.0,0.9999999851702007,0.00017221962233091812,0.0,0.0,0.0,1.0
